Name,Price,Rating
texla 1 Gm To 10 Kg Portable Multipurpose Round Plate k...,₹255,3.9
"3D METRO SUPER STORE JUICER_G 1 Juicer,1 Handle,1 Jar,1...",₹389,3.9
Elica WDFL 606 HAC MS NERO Auto Clean Wall Mounted Chim...,"₹11,990",4.1
Prestige PKOSS 1.5 Electric Kettle,₹830,4.1
UKRAINEZ Scarlett (Kettle) P-7 Automatic Stainless Stee...,₹999,4.3
RTB Electronic Digital 1Gram-10 Kg Weight Scale Lcd Kit...,₹442,3.8
Natraj Aatamaker Viva Atta Chakki Fully Automatic Domes...,"₹16,990",4.1
Kashtabhanjan enterprise kettle Electric Kettle,₹559,4.1
PHILIPS HL7756/03 Daily Collection 750 W Mixer Grinder ...,"₹3,508",4.3
"Lifelong LLMGEK02 500 W Mixer Grinder (Grey, 2 Jar) & 1...","₹1,899",4.1
varada Air Fryer Over 12Liter Air Fryer,"₹9,999",5
Prestige Multi cooker PMC 1.0+ Electric Kettle,"₹1,449",4.1
Prestige APK14 Electric Kettle,₹950,4.3
Pigeon Acer plus Induction Cooktop,"₹1,798",3.9
varada VA-AFD6.5L BLACK Air Fryer,"₹5,899",4.5
"Preethi MG 245 Peppy 750 W Mixer Grinder (3 Jars, Black...","₹3,098",4
Butterfly Rapid Electric Kettle,₹749,4.2
"Blue Sky Fruit & Vegetable 1 1 W Juicer (2 Jars, White)",₹449,3.7
Panasonic 20 L Grill Microwave Oven,"₹7,890",4.4
V-Guard VKM12 Electric Kettle,"₹1,399",4.2
Ortan Longlife (R) 1.8 L Stainless Steel Quick Heating ...,₹620,4
"Butterfly Plus Rapid 750 W Mixer Grinder (5 Jars, Ink B...","₹3,698",4.3
Singer Electric Kettle – Uno (1 ltr) Electric Kettle,₹850,4.4
U UZAN Heavy Duty Electronic Thick Tempered Glass LCD D...,₹599,4.1
Devta eighing Scale LCD Bathroom Weight Machine for Hum...,₹620,3.8
"Butterfly Arrow 500 W Mixer Grinder (3 Jars, Grey)","₹1,898",4
JKR Enterprise JKR-2019 260 W Electric Whisk,₹395,4
Sansui Neutron 2100 W Induction Cooktop,"₹2,098",4
